"asociado_id","cantidad_entrega","anios_asociacion"
"4452","164.06","7"
"4460","100.35","7"
"4466","9.23","7"
"4473","78.37","7"
"4476","3.17","7"
"4477","2.65","7"
"4481","63.97","7"
"4485","18.33","7"
"4493","50.39","7"
"4500","13.35","7"
"4502","34.56","7"
"4503","19.45","7"
"4508","62.22","7"
"4515","7.61","7"
"4519","27.88","7"
"4530","79.4","7"
"4532","36.11","7"
"4542","7.81","7"
"4559","3.57","7"
"4564","15.11","7"
"4571","23.09","7"
"4572","57.43","3"
"4576","36.74","7"
"4577","7.47","7"
"4582","1257.39","7"
"4601","12.68","7"
"4602","17.61","7"
"4604","76.23","7"
"4608","7.5","7"
"4609","5.66","7"
"4612","59.34","7"
"4618","7.47","7"
"4619","41.32","7"
"4620","25.88","7"
"4621","53.81","7"
"4622","13.75","7"
"4636","68.92","7"
"4645","148.51","7"
"4652","128.71","7"
"4658","39.63","7"
"4660","133.86","7"
"4661","15.54","7"
"4671","6.97","7"
"4674","47.05","7"
"4677","54.36","7"
"4678","189.16","7"
"4679","98.83","7"
"4691","71.46","7"
"4705","28.78","7"
"4709","113.66","7"
"4710","17.76","7"
"4712","434.61","7"
"4720","10.41","7"
"4731","49.69","7"
"4733","15.98","7"
"4735","5.35","7"
"4738","123.39","7"
"4740","15.94","7"
"4743","97.64","7"
"4756","31.27","7"
"4764","59.85","7"
"4765","34.45","7"
"4782","18.99","7"
"4783","26.11","7"
"4784","29.81","7"
"4788","28.82","7"
"4792","8.84","7"
"4797","124.75","7"
"4805","18.01","7"
"4812","28.85","7"
"4816","9.65","7"
"4821","5.25","7"
"4822","55.86","7"
"4837","59.03","7"
"4844","955.52","7"
"4845","27.65","7"
"4849","443.41","7"
"4851","98.5","7"
"4852","79.02","7"
"4856","18.33","7"
"4864","46.9","7"
"4877","5.22","7"
"4880","30.08","7"
"4881","125.56","7"
"4882","3.91","7"
"4884","405.16","7"
"4891","4.02","7"
"4895","2.41","7"
"4904","7.78","7"
"4909","59.4","7"
"4914","7.26","7"
"4916","60.3","7"
"4920","19.37","7"
"4940","27.39","7"
"4943","727.58","10"
"4946","164.46","7"
"4955","144.63","7"
"4959","18.98","7"
"4973","11.43","7"
"4977","3.3","7"
"4978","115.88","7"
